id,bn_runmean_cos,bn_runmean_l1_neg,bn_runvar_logcos,bn_affine_cosine,member_sac,member_cka,member_margin_spearman,member_pred_agree,test_sac,test_cka,test_margin_spearman,test_pred_agree,cutmix_sac,cutmix_cka,cutmix_margin_spearman,cutmix_pred_agree,aug_delta_logit_cos,aug_class_delta_p10,aug_class_delta_p50,aug_class_delta_iqr_neg,aug_change_agreement,aug_label_agreement,member_ddv,test_ddv,cutmix_ddv,member_sac_w,test_sac_w,member_sac_hc,test_sac_hc,boundary_pred_agree,boundary_sac,layer1_cos,layer2_cos,layer3_cos,layer4_cos,layer_cos_mean,layer_cos_min,jacobian_cos
0,0.3270561830394923,-0.28646132349967957,0.19597790296937995,0.7005460183620842,0.39233563289906176,0.47122076002787217,0.24009699452424862,0.543,0.4706401408916921,0.5453649160564777,0.37776282894070723,0.5285,0.37600543513768153,0.4732621727224527,0.17322586930646733,0.318,0.06385339809970944,0.01608281971796674,0.065878436305018,-0.049950761431763926,0.7825,0.532,0.9686554670333862,0.9650819897651672,0.912795901298523,,0.4212704680133782,0.6078276229330641,0.6899619459366597,0.235,0.3337442797524701,0.847897552653642,0.800160431668042,0.7088778575058329,0.2823938011560185,0.6598324107458837,0.2823938011560185,0.17355317622423172
1,0.06839997335656166,-0.5950279831886292,0.15313552584314077,0.6186791645224857,0.03366055763158896,0.1767566880070409,0.006408640602160151,0.0525,0.05306246024867674,0.20560833718585114,0.040574863143715785,0.0405,0.21029203234655383,0.18688059549890082,0.043848816462204114,0.0295,0.009394174953121837,-0.030040556075352616,0.009084030218065673,-0.04037872416881557,0.681,0.0455,0.9224019050598145,0.9006953239440918,0.844229519367218,,0.11379306903670137,0.05843241416286841,0.07474303417007197,0.04,0.11951342210931043,0.7376629243721322,0.7318301214285234,0.6836221196027572,0.3038212836520399,0.6142341122638632,0.3038212836520399,-0.0007511647418141365
2,0.45827014791478116,-0.016976362094283104,0.2757695670653901,0.9617436853671639,0.9999194700450936,0.8819096662388278,0.44231242457810616,1.0,0.7628922845963081,0.8346664609040342,0.8007352671838168,0.8,0.5313390156070883,0.6519320606948891,0.45446733861683464,0.537,0.15996423828029505,0.073781084828641,0.1633350253091075,-0.09109722825312135,1.0,1.0,0.9999595284461975,0.9873765110969543,0.9406691193580627,,0.49125263247197865,0.9996850361606261,0.9998531012348999,0.345,0.296205366945167,0.8114206589530458,0.7721336911845138,0.6327392339838573,0.176817344268804,0.5982777320975553,0.176817344268804,0.34690868854522705
3,0.45834607001323446,-0.16423048079013824,0.29324079382778073,0.9019922937980795,0.6855496377430682,0.5901473493019544,0.32509592727398184,0.819,0.4433225385107887,0.6129978435263017,0.5205098636274659,0.594,0.2448721283289372,0.47067958982112895,0.22148152787038197,0.3095,0.09987955698018097,0.03941511707573631,0.10024214455363693,-0.06264844586653245,0.8415,0.847,0.9905872941017151,0.9758840203285217,0.9095645546913147,,0.2808232108361581,0.8577967573786588,0.9339265939231123,0.29,0.26744578856475903,0.82504947259199,0.7751360005417303,0.6490360914157957,0.2505833611695946,0.6249512314297776,0.2505833611695946,0.24608679860830307
4,0.46319737565144875,-0.016567235812544823,0.9924129584323552,0.9683138179783568,0.9999999999999989,0.9999999999972886,0.9999999939999985,1.0,0.9999999999921358,0.9999999999964011,0.9999999924999982,1.0,0.9999999999852022,0.999999999991709,0.9999999849999962,1.0,0.9999999999022147,0.9999999998713975,0.999999999909259,-3.2395752747049755e-11,1.0,1.0,0.9999999403953552,1.0,1.0,,0.9999999999794935,0.9999999999999989,0.9999999999999989,1.0,0.9999999999825586,0.9999999999985549,0.7653798235709622,0.6400800874808537,0.1781348028380764,0.6458986784721118,0.1781348028380764,0.9999998211860657
5,0.9718101956061078,-0.048407331109046936,0.8636009397816673,0.9843146310721362,0.9715219670004083,0.8063856203769777,0.44593335348333835,0.983,0.7105216957517289,0.8093666715676979,0.7535273498818374,0.7685,0.5243084063727426,0.6950237180121759,0.379675531918883,0.519,0.40813424511924123,0.3454515298528569,0.41198913678467947,-0.056083240511536736,0.984,0.988,0.9982463121414185,0.9867184162139893,0.9376811385154724,,0.4768048225241138,0.9836482599590772,0.9959660323607945,0.41,0.4406342917395702,0.9943652763373276,0.9848930567123675,0.9507387796495069,0.8831861402284757,0.9532958132319195,0.8831861402284757,0.5506343245506287
6,0.4762882214450446,-0.016113264486193657,0.39878949312485823,0.9629362435019195,0.999993012976668,0.8838544868348736,0.42890301972575495,1.0,0.7563779794833162,0.8342402161394149,0.7908659532164883,0.7925,0.5385381909609479,0.6538714732582604,0.4548728652182163,0.5375,0.15222382284351654,0.06089276258274363,0.15695400527848713,-0.09568022298709282,1.0,1.0,0.9999849796295166,0.9888612627983093,0.9414358735084534,,0.4702539353465642,0.9999996491329183,0.9987861184587252,0.35,0.30381708619619163,0.8061166176982049,0.7893462117062485,0.6416608080074943,0.1795158991649875,0.6041598841442338,0.1795158991649875,0.32681261003017426
7,0.06661547761285187,-0.5023894309997559,0.14531978867842912,0.6188181323451285,0.08786267421156459,0.2733826759079392,0.033762426940606736,0.135,0.1426084604682143,0.3290408002101087,0.04823550455887614,0.1475,0.2339929715228729,0.2743630799937867,0.035929256982314244,0.1035,0.02145620530395278,-0.018786477330931316,0.017687807512158423,-0.038570753263673145,0.725,0.1355,0.8689322471618652,0.8516544103622437,0.8251757621765137,,0.20532766480518988,0.13129370471628296,0.16265007291965006,0.09,0.2370864102579279,0.783325006290742,0.7530055667560259,0.6927827397761461,0.35616499092581383,0.646319575937182,0.35616499092581383,0.01021552411839366
8,0.9999999999997222,-0.0,0.9999999999974046,0.9999999999999949,0.9999936008540108,1.0,0.9263974760993691,1.0,0.9866480252486505,1.0,0.9850011017502754,0.958,0.9779088981668306,1.0,0.9395769953942489,0.915,0.9973728459633153,0.9970384963263766,0.9973714432672329,-0.00037553895307174123,1.0,1.0,0.9999977946281433,0.9994657635688782,0.9977383017539978,,0.9666115445278136,0.9999999964753519,0.9999999738346207,0.86,0.9586153893891958,0.9999999999985578,0.9999999999981359,0.9999999999970457,0.9999999999999912,0.9999999999984326,0.9999999999970457,0.9997563362121582
9,0.9509980501100905,-0.09978820383548737,0.6654310207514155,0.9622777431420961,0.9871211002715468,0.7902267151228124,0.44030511207627804,0.993,0.7466308498403016,0.7968138178560045,0.7982753250688313,0.786,0.5295300340471796,0.6771161033975248,0.43416713454178363,0.539,0.28032790539108937,0.23067811380578712,0.27669371942739285,-0.06927407593899326,0.988,0.997,0.9989572763442993,0.9880616068840027,0.9384791254997253,,0.4979417520631661,0.9985965558908193,0.9999016335468832,0.365,0.39474791336889714,0.9931990971769242,0.9876434413532065,0.9483398473846363,0.8665097129957391,0.9489230247276265,0.8665097129957391,0.4960207939147949
